id,Name,TrainingName,TrainerName,feedback
759,Ruggiero Levitt,HTML&CSS,Allyn Boness,Moderate
247,Melisse Heart,DBT,Oona Jakubovicz,Very Good
318,Trent Elnor,Power BI,Claudie Boston,Excellent
189,Diandra MacCleay,HTML&CSS,Oswald Othen,Good
113,Fedora Maggi,UI/UX(Figma),Devon Jull,Moderate
928,Diego Fremantle,ADF,Gavan Garthside,Poor
156,Dallis Steenson,Python,Giovanna Connaughton,Moderate
105,Lucias Greatex,OS,Johann Endecott,Very Good
810,Desmond Markwick,ADF,Andre Ackeroyd,Very Good
946,Pacorro O'Brogan,Cloud Platforms,Dorree Spriggen,Excellent
179,Shem McKirton,Data Warehouse,Tonya Arcase,Good
959,Merrili Truckell,Git & Version Control,Tully Puddin,Moderate
585,Gleda Gogerty,OS,Stephannie Lidgard,Excellent
919,Michelle Arrighi,OS,Abby Venners,Excellent
382,Chelsie Paramore,Git & Version Control,Berthe Wardlow,Moderate
390,Billie Snookes,Cloud Platforms,Vincenz Wallwork,Excellent
722,Alena St. Hill,Networking,Benny Kitcatt,Good
820,Natalya Attoc,DBT,Gilemette Rickesies,Poor
82,Kathy Costy,Typescript,Jorie Ruppert,Moderate
569,Vanni Leversha,Analytics & Reporting,Fidelio Ghilks,Moderate
500,Elijah Wannell,React JS,Alyce Gowthrop,Very Good
480,Pavia Magnay,Data Warehouse,Rufe Chapling,Excellent
89,Norah Devers,Typescript,Sloane Lean,Excellent
963,Nappie Poynter,Typescript,Camella Lerwell,Very Good
316,Ashlen Baumber,SQL,Garry Britto,Poor
13,Carmine Terzo,UI Path,Lewes Bennington,Poor
499,Nikkie Berkowitz,Git & Version Control,Kippy Cazereau,Moderate
822,Ardenia Moden,Javascript,Berkie Stannis,Poor
836,Gerhard Mulcaster,Software Components,Annecorinne Grimster,Good
222,Anallise Bonfield,QA,Fanchette Maybury,Excellent
368,Alena Gerdes,Web Scraping,Tymothy Itscowics,Excellent
779,Petronille Colthard,Python,Arny Goodanew,Poor
401,Cordie Duck,Javascript,Blythe Jellis,Moderate
94,Brody Toffolini,Cloud Platforms,Georg Hencke,Good
646,Costa Sander,Git & Version Control,Benoite Solomon,Poor
378,Chadd Checchi,UI/UX(Figma),Karlan Greatbanks,Poor
736,Corabelle Nutbeem,UI/UX(Figma),Mike Coxwell,Poor
453,Suellen Ponting,Javascript,Benedicta Ronisch,Very Good
163,Clo Borrows,Networking,Conant McFeat,Poor
422,Syman Banane,HTML&CSS,Inga Braisby,Good
485,Rianon Tillyer,OS,Paule Gerald,Very Good
535,Sibilla Zealey,Power BI,Ashia Pahl,Moderate
534,Brion Tommasi,Software Components,Dre Bastian,Poor
464,Buddie Ziemens,UI/UX(Figma),Raimundo Michallat,Good
399,Rakel Vergine,QA,Avictor Earlam,Very Good
547,Daisi Aldritt,Power BI,Tallie Dempster,Poor
644,Johna Antos,Cloud Platforms,Clarissa Pauletto,Good
303,Margy Schwander,Git & Version Control,Bruno Quin,Moderate
219,Thorndike Haxell,OS,Louella Bickardike,Good
251,Fidole Rivel,React JS,William Keay,Good
466,Melitta Goodyer,DBT,Vanna Hasney,Good
539,Janela Cellier,UI Path,Stephani Nester,Moderate
804,Benjy Cutcliffe,UI Path,Vivyan Tant,Good
659,Alvira Fullilove,Web Scraping,Ransell Pavier,Poor
828,Flss Quilter,UI Path,Drusi Fitter,Poor
454,Alwyn Thomsen,Git & Version Control,Sada Goretti,Very Good
815,Ansel Elcom,Python,Theressa Watterson,Very Good
326,Serene O'Fihillie,UI/UX(Figma),Marcos Curnow,Excellent
255,Bev Juszczak,HTML&CSS,Anatol Capstake,Moderate
94,Boigie Blampy,Power BI,Brooke Mawer,Poor
999,Megan Stock,UI/UX(Figma),Payton Plom,Good
360,Kassey Nalder,React JS,Thaddus Edgson,Very Good
331,Hilarius Ottewell,React JS,Oswald Scutt,Good
492,Morse McGuirk,QA,Celestine Carswell,Excellent
173,Lorrin Gridley,Power BI,Rustie Rubinov,Poor
926,Radcliffe Tume,Web Scraping,Heywood Duffin,Good
587,Ede Kenneway,Software Components,Michael Pletts,Poor
