id,TrainingName,TrainingDate,TrainingStartTime,TrainingEndTime,TrainerName,ScheduledBy,ScheduledTo,t_id,ModuleCompletion
130,Typescript,19-03-2023,10:43 AM,5:12 PM,Xymenes Pauls,Courtenay,Intern,7,643
380,UI/UX(Figma),29-11-2022,10:16 AM,5:19 PM,Tobie Grimsdith,Emalee,Intern,14,520
184,OS,14-11-2023,10:45 AM,5:46 PM,Beverlee Lachaize,Haroun,Intern,7,190
702,Web Scraping,14-01-2024,9:41 AM,5:41 PM,Nita Cuniam,Vincent,Intern,8,838
84,Javascript,03-10-2023,9:16 AM,5:50 PM,Ardis Shalders,Fletcher,Intern,3,753
424,Web Scraping,07-08-2022,10:38 AM,5:48 PM,Mariam Toomey,Ronni,Intern,13,95
168,Typescript,13-08-2023,9:44 AM,5:34 PM,Tara Bascomb,Frasco,Intern,4,766
626,Git & Version Control,21-11-2022,10:25 AM,5:45 PM,Jacky Muscat,Paige,Intern,2,501
411,Analytics & Reporting,11-03-2023,9:20 AM,5:39 PM,Kalli Fearneley,Angelica,Employee,1,168
182,ADF,27-06-2023,10:25 AM,5:55 PM,Rosamund Lynnitt,Marylou,Intern,8,490
626,SQL,10-05-2023,9:37 AM,5:19 PM,Thom Coudray,Pavel,Intern,2,68
677,Git & Version Control,22-01-2023,10:23 AM,5:49 PM,Rod Douris,Andeee,Employee,16,828
957,Python,22-10-2022,10:11 AM,5:21 PM,Frank Christmas,Flinn,Intern,10,343
650,Analytics & Reporting,01-02-2023,9:32 AM,5:32 PM,Marius Kitto,Elayne,Employee,12,53
168,DBT,06-05-2023,10:21 AM,5:16 PM,Berni Gorghetto,Euell,Intern,6,341
116,Typescript,25-01-2023,9:45 AM,5:59 PM,Darius Brabin,Ronni,Employee,4,373
408,Javascript,08-08-2023,9:25 AM,5:19 PM,Avril Cribbin,Grady,Intern,10,22
840,React JS,04-08-2023,9:25 AM,5:11 PM,Wallis Degoix,Jaime,Employee,11,829
461,DBT,17-08-2023,9:24 AM,5:34 PM,Magda Dury,Devora,Employee,13,163
272,Cloud Platforms,02-04-2023,9:21 AM,5:30 PM,Lenore Boulding,Winona,Intern,13,291
449,Software Components,12-10-2023,10:04 AM,5:02 PM,Ramonda Jone,Cortie,Employee,13,232
447,DBT,27-02-2024,9:07 AM,5:56 PM,Robby Buske,Loren,Intern,11,80
868,Software Components,27-09-2022,9:20 AM,5:40 PM,Verena Tuckie,Kaela,Intern,5,420
677,Power BI,15-10-2022,9:15 AM,5:44 PM,Sander Fearnyhough,Maureen,Intern,6,638
515,QA,20-03-2023,10:41 AM,5:28 PM,Dorena Fowgies,Leonardo,Intern,10,784
182,React JS,03-11-2022,10:18 AM,5:44 PM,Bettina Adamowicz,Kristo,Intern,16,160
306,Networking,27-02-2024,10:55 AM,5:30 PM,Gabi Wasiel,Karel,Intern,12,605
533,HTML&CSS,10-03-2024,9:49 AM,5:54 PM,Shellie Tillyer,Cindie,Intern,5,40
957,Web Scraping,23-01-2024,9:11 AM,5:57 PM,Valeda Kilroy,Alexa,Intern,7,10
537,Networking,15-03-2023,10:08 AM,5:30 PM,Ilario Brogi,Jessica,Employee,1,52
294,UI Path,21-04-2022,10:48 AM,5:54 PM,Maggy Poynser,Manfred,Intern,8,84
411,Software Components,24-09-2022,9:32 AM,5:57 PM,Haley Arens,Ebba,Employee,17,577
130,OS,23-11-2023,10:49 AM,5:48 PM,Christine Goolden,Ola,Intern,5,48
509,Analytics & Reporting,13-05-2023,10:18 AM,5:51 PM,Yulma Kezourec,Zach,Employee,3,309
414,HTML&CSS,11-11-2022,10:27 AM,5:46 PM,Lula Haffner,Zared,Employee,15,496
405,Web Scraping,14-10-2023,10:08 AM,5:05 PM,Esteban Thrussell,Inna,Intern,1,515
988,UI/UX(Figma),01-09-2022,10:05 AM,5:05 PM,Aubrie Back,Nonah,Intern,8,822
957,Typescript,11-08-2022,10:34 AM,5:39 PM,Linc Byer,Zared,Intern,15,672
788,Cloud Platforms,18-11-2022,9:28 AM,5:24 PM,Cale Abba,Mathe,Intern,8,569
48,SQL,15-06-2023,10:12 AM,5:52 PM,Greg Roney,Moyna,Intern,9,664
408,Software Components,22-01-2023,10:51 AM,5:15 PM,Tannie Geraldez,Carmelina,Intern,16,415
181,Git & Version Control,31-10-2022,10:55 AM,5:50 PM,Adele Reffe,Guillaume,Employee,4,801
411,Power BI,08-03-2024,9:08 AM,5:56 PM,Teresina Rzehorz,Haskell,Employee,13,171
81,React JS,02-09-2023,9:04 AM,5:06 PM,Saba Braybrookes,Staford,Intern,4,572
240,ADF,16-12-2022,10:11 AM,5:16 PM,Wilbert Meany,Zared,Intern,6,525
743,QA,30-11-2023,9:13 AM,5:43 PM,Peyter Kristoffersson,Lorenza,Intern,6,126
873,Javascript,24-01-2023,10:33 AM,5:28 PM,Marcelle Ferrierio,Tait,Employee,13,480
501,Power BI,18-07-2023,10:31 AM,5:43 PM,Lark Greste,Kirstin,Intern,10,176
411,Web Scraping,10-09-2023,9:48 AM,5:45 PM,Abbye Monini,Cassey,Intern,1,480
891,Networking,15-11-2022,10:05 AM,5:11 PM,Costanza Hatley,Gregg,Intern,2,485
261,Analytics & Reporting,29-05-2023,9:58 AM,5:51 PM,Yuma Nussgen,Gertrudis,Intern,11,318
