id,TrainingName,TrainingDate,TrainingStartTime,TrainingEndTime,TrainerName,ScheduledBy,ScheduledTo,t_id,ModuleCompletion
130,Typescript,19-03-2023,10:43 AM,5:12 PM,Xymenes Pauls,Junie,Intern,7,643
380,UI/UX(Figma),29-11-2022,10:16 AM,5:19 PM,Tobie Grimsdith,Shane,Intern,14,520
184,OS,14-11-2023,10:45 AM,5:46 PM,Beverlee Lachaize,Pavel,Intern,7,190
702,Web Scraping,14-01-2021,9:41 AM,5:41 PM,Nita Cuniam,Natalina,Intern,8,838
84,Javascript,03-10-2023,9:16 AM,5:50 PM,Ardis Shalders,Ola,Intern,3,753
424,Web Scraping,07-08-2021,10:38 AM,5:48 PM,Mariam Toomey,Shelby,Intern,13,95
168,Typescript,13-08-2021,9:44 AM,5:34 PM,Tara Bascomb,Kirstin,Intern,4,766
626,Git & Version Control,21-11-2022,10:25 AM,5:45 PM,Jacky Muscat,Inna,Intern,2,501
411,Analytics & Reporting,11-03-2023,9:20 AM,5:39 PM,Kalli Fearneley,Moss,Employee,1,168
182,ADF,27-06-2021,10:25 AM,5:55 PM,Rosamund Lynnitt,Wade,Intern,8,490
626,SQL,10-05-2021,9:37 AM,5:19 PM,Thom Coudray,Inna,Intern,2,68
677,Git & Version Control,22-01-2021,10:23 AM,5:49 PM,Rod Douris,Ricky,Employee,16,828
957,Python,22-10-2022,10:11 AM,5:21 PM,Frank Christmas,Devora,Intern,10,343
650,Analytics & Reporting,01-02-2021,9:32 AM,5:32 PM,Marius Kitto,Corrina,Employee,12,53
168,DBT,06-05-2023,10:21 AM,5:16 PM,Berni Gorghetto,Kirstin,Intern,6,341
116,Typescript,25-01-2023,9:45 AM,5:59 PM,Darius Brabin,Eugenia,Employee,4,373
408,Javascript,08-08-2021,9:25 AM,5:19 PM,Avril Cribbin,Shawnee,Intern,10,22
840,React JS,04-08-2021,9:25 AM,5:11 PM,Wallis Degoix,Nicolette,Employee,11,829
461,DBT,17-08-2021,9:24 AM,5:34 PM,Magda Dury,Antone,Employee,13,163
272,Cloud Platforms,02-04-2023,9:21 AM,5:30 PM,Lenore Boulding,Michaelina,Intern,13,291
449,Software Components,12-10-2021,10:04 AM,5:02 PM,Ramonda Jone,Stanly,Employee,13,232
447,DBT,27-02-2021,9:07 AM,5:56 PM,Robby Buske,Bartholomew,Intern,11,80
868,Software Components,27-09-2022,9:20 AM,5:40 PM,Verena Tuckie,Georgy,Intern,5,420
677,Power BI,15-10-2022,9:15 AM,5:44 PM,Sander Fearnyhough,Ricky,Intern,6,638
515,QA,20-03-2023,10:41 AM,5:28 PM,Dorena Fowgies,Flinn,Intern,10,784
182,React JS,03-11-2021,10:18 AM,5:44 PM,Bettina Adamowicz,Wade,Intern,16,160
306,Networking,29-09-2024,10:55 AM,5:30 PM,Gabi Wasiel,Andeee,Intern,12,605
533,HTML&CSS,10-03-2021,9:49 AM,5:54 PM,Shellie Tillyer,Gretal,Intern,5,40
957,Web Scraping,23-01-2021,9:11 AM,5:57 PM,Valeda Kilroy,Devora,Intern,7,10
537,Networking,15-03-2021,10:08 AM,5:30 PM,Ilario Brogi,Devan,Employee,1,52
294,UI Path,21-04-2022,10:48 AM,5:54 PM,Maggy Poynser,Gustav,Intern,8,84
411,Software Components,24-09-2022,9:32 AM,5:57 PM,Haley Arens,Moss,Employee,17,577
130,OS,23-11-2023,10:49 AM,5:48 PM,Christine Goolden,Junie,Intern,5,48
509,Analytics & Reporting,13-05-2021,10:18 AM,5:51 PM,Yulma Kezourec,Paulina,Employee,3,309
414,HTML&CSS,11-11-2022,10:27 AM,5:46 PM,Lula Haffner,Cassey,Employee,15,496
405,Web Scraping,14-10-2023,10:08 AM,5:05 PM,Esteban Thrussell,Gardy,Intern,1,515
988,UI/UX(Figma),01-09-2021,10:05 AM,5:05 PM,Aubrie Back,Fidela,Intern,8,822
